T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,target,Cluster
-73,-69,-62,-71,-74,-67,-65,-49,-50,-73,-82,-67,-69,-56,-64,-53,-49,-56,B63,-1
-62,-69,-64,-59,-53,-68,-50,-51,-51,-74,-68,-64,-64,-67,-53,-62,-67,-62,B51,47
-55,-45,-56,-53,-59,-63,-75,-70,-65,-53,-58,-59,-64,-61,-70,-61,-67,-65,B8,48
-76,-74,-73,-72,-65,-64,-65,-52,-55,-74,-76,-78,-74,-61,-65,-63,-56,-62,B61,1
-72,-64,-53,-57,-61,-62,-62,-57,-63,-58,-64,-67,-53,-48,-57,-60,-64,-56,B36,49
-56,-60,-64,-72,-67,-67,-77,-83,-71,-55,-56,-56,-62,-70,-66,-73,-79,-77,A14,50
-54,-42,-63,-70,-74,-75,-79,-73,-69,-50,-46,-62,-62,-62,-73,-61,-67,-76,A15,51
-63,-71,-60,-55,-64,-53,-80,-65,-63,-57,-72,-56,-58,-70,-61,-68,-68,-62,A36,36
-70,-61,-56,-70,-68,-67,-71,-76,-71,-57,-61,-63,-64,-81,-67,-65,-70,-69,A21,110
-57,-49,-52,-66,-66,-62,-81,-67,-70,-47,-50,-55,-59,-64,-66,-64,-62,-67,A24,52
-66,-76,-56,-58,-54,-61,-70,-73,-71,-69,-66,-64,-58,-65,-74,-73,-75,-74,B38,53
-70,-64,-64,-70,-80,-74,-85,-82,-84,-79,-71,-66,-70,-70,-75,-78,-83,-81,B21,12
-58,-56,-78,-76,-74,-74,-75,-77,-82,-49,-55,-58,-66,-81,-75,-85,-73,-79,A10,54
-48,-56,-57,-70,-70,-85,-70,-78,-80,-59,-57,-62,-87,-75,-71,-67,-79,-95,B4,55
-48,-56,-57,-69,-71,-83,-70,-80,-82,-58,-57,-62,-84,-74,-70,-67,-81,-95,B4,55
-79,-72,-66,-55,-47,-55,-73,-73,-65,-69,-56,-57,-56,-73,-60,-75,-65,-70,A37,56
-55,-59,-59,-72,-68,-64,-66,-68,-73,-50,-52,-64,-66,-64,-69,-71,-73,-66,A12,57
-66,-61,-59,-57,-63,-53,-61,-60,-61,-67,-74,-71,-65,-54,-73,-78,-66,-69,B41,58
-83,-72,-61,-75,-62,-70,-65,-50,-47,-78,-73,-65,-71,-57,-70,-56,-50,-56,B63,59
-59,-53,-58,-67,-67,-69,-74,-72,-69,-54,-53,-72,-59,-71,-63,-83,-76,-72,A17,-1
-56,-56,-57,-62,-66,-76,-70,-71,-68,-53,-59,-59,-74,-73,-72,-76,-76,-78,B14,60
-78,-73,-62,-62,-65,-64,-55,-61,-56,-77,-72,-73,-66,-62,-53,-55,-61,-61,B49,61
-55,-62,-66,-71,-66,-68,-77,-80,-75,-54,-58,-57,-62,-70,-65,-77,-81,-80,A14,50
-58,-57,-77,-77,-74,-76,-76,-78,-82,-50,-56,-58,-67,-82,-75,-95,-76,-77,A3,54
-52,-41,-60,-67,-76,-73,-76,-68,-69,-50,-44,-59,-63,-62,-75,-61,-67,-69,A15,51
-72,-62,-58,-64,-65,-64,-78,-80,-82,-60,-82,-61,-64,-82,-69,-72,-95,-73,A22,3
-58,-56,-75,-77,-73,-76,-75,-77,-80,-49,-56,-58,-67,-81,-75,-95,-73,-78,A3,54
-58,-45,-60,-53,-60,-62,-67,-75,-65,-54,-58,-54,-66,-58,-68,-61,-64,-67,B8,48
-69,-95,-72,-69,-69,-64,-72,-55,-46,-77,-66,-65,-67,-59,-76,-63,-51,-40,B71,-1
-59,-65,-66,-72,-77,-65,-73,-79,-84,-50,-54,-60,-62,-67,-67,-72,-73,-73,A4,62
-65,-67,-68,-62,-66,-61,-49,-53,-47,-71,-78,-71,-67,-51,-63,-47,-51,-59,B59,63
-67,-59,-60,-61,-51,-39,-59,-75,-50,-68,-72,-67,-59,-47,-57,-53,-67,-59,B39,64
-53,-37,-56,-64,-61,-61,-66,-71,-61,-53,-56,-53,-65,-67,-70,-59,-65,-77,A19,2
-84,-73,-67,-78,-69,-70,-62,-49,-56,-82,-72,-79,-68,-65,-67,-59,-56,-55,B80,8
-62,-58,-55,-53,-50,-63,-73,-63,-69,-70,-69,-62,-57,-58,-65,-64,-64,-68,B29,65
-64,-69,-60,-61,-55,-57,-81,-57,-57,-73,-65,-67,-54,-59,-57,-45,-54,-53,A76,66
-67,-67,-56,-57,-79,-59,-72,-71,-70,-61,-63,-63,-53,-75,-67,-72,-72,-71,A29,-1
-69,-73,-74,-74,-62,-83,-59,-58,-61,-73,-75,-69,-71,-64,-75,-56,-65,-66,B58,67
-68,-69,-64,-65,-74,-86,-81,-84,-85,-74,-63,-69,-69,-80,-89,-78,-86,-95,B21,68
-62,-58,-51,-44,-61,-55,-73,-58,-62,-67,-68,-44,-59,-67,-60,-59,-62,-62,B28,69
-69,-65,-66,-73,-73,-69,-70,-59,-55,-64,-67,-66,-63,-62,-64,-52,-56,-52,A77,70
-75,-69,-65,-70,-62,-62,-60,-41,-55,-61,-69,-67,-62,-62,-56,-49,-49,-58,A67,71
-59,-58,-62,-50,-67,-62,-72,-63,-61,-58,-55,-49,-60,-60,-63,-59,-66,-74,B24,72
-62,-58,-51,-46,-70,-74,-84,-68,-69,-59,-50,-51,-53,-59,-57,-67,-66,-70,A31,73
-64,-69,-65,-61,-61,-64,-74,-75,-85,-69,-63,-73,-58,-72,-61,-65,-71,-81,A34,74
-78,-73,-63,-68,-63,-71,-63,-46,-50,-76,-71,-64,-71,-55,-65,-53,-49,-57,B63,59
-71,-74,-70,-68,-84,-63,-64,-69,-66,-62,-64,-62,-63,-57,-51,-54,-61,-58,A58,45
-51,-61,-68,-65,-75,-66,-71,-84,-78,-52,-58,-59,-74,-77,-75,-83,-74,-81,A9,46
-62,-57,-59,-49,-68,-54,-62,-76,-67,-50,-61,-50,-57,-63,-75,-65,-63,-77,A32,39
-69,-82,-71,-69,-70,-63,-73,-55,-46,-78,-66,-65,-67,-59,-76,-64,-51,-40,B71,75
-64,-71,-63,-59,-55,-71,-53,-51,-53,-72,-68,-65,-62,-63,-52,-61,-70,-61,B51,47
-53,-63,-63,-73,-77,-70,-76,-79,-79,-53,-59,-69,-75,-69,-70,-75,-72,-82,A5,76
-64,-69,-65,-60,-61,-66,-75,-76,-81,-67,-63,-81,-59,-73,-62,-64,-70,-80,A34,74
-57,-50,-52,-66,-66,-62,-81,-67,-69,-48,-50,-55,-59,-64,-65,-64,-62,-66,A24,52
-68,-62,-64,-59,-59,-71,-67,-73,-74,-69,-71,-76,-55,-68,-69,-75,-75,-83,B34,77
-49,-57,-61,-71,-68,-64,-77,-81,-75,-43,-64,-63,-55,-78,-64,-79,-64,-69,A11,78
-51,-63,-51,-62,-61,-71,-59,-65,-61,-63,-52,-64,-54,-65,-66,-58,-62,-62,B16,79
-68,-65,-67,-65,-63,-73,-68,-59,-58,-78,-71,-70,-68,-67,-70,-57,-60,-57,B57,14
-68,-61,-56,-56,-61,-60,-68,-66,-71,-57,-55,-55,-58,-62,-61,-60,-64,-66,B20,80
-59,-67,-72,-68,-56,-60,-55,-53,-62,-57,-65,-72,-57,-61,-51,-48,-57,-54,A63,81
-72,-53,-63,-51,-57,-68,-63,-61,-69,-65,-62,-63,-54,-61,-59,-70,-66,-72,B25,82
-57,-70,-70,-76,-67,-65,-82,-79,-77,-54,-55,-58,-68,-73,-67,-66,-71,-70,A1,11
-54,-61,-63,-76,-74,-71,-74,-79,-79,-51,-65,-68,-79,-70,-68,-74,-73,-79,A5,76
-62,-70,-64,-59,-53,-69,-50,-51,-52,-74,-68,-64,-63,-64,-52,-60,-68,-62,B51,47
-70,-68,-64,-76,-63,-80,-60,-60,-62,-75,-74,-71,-80,-66,-53,-63,-56,-65,B53,-1
-67,-67,-56,-60,-55,-59,-71,-71,-69,-73,-64,-64,-58,-66,-71,-79,-86,-74,B38,53
-72,-70,-68,-74,-61,-72,-58,-54,-53,-95,-75,-79,-75,-54,-62,-61,-78,-58,B73,28
-66,-67,-66,-63,-65,-61,-50,-53,-48,-71,-80,-74,-70,-51,-64,-47,-50,-59,B59,63
-76,-67,-74,-67,-67,-63,-72,-64,-49,-75,-74,-77,-65,-70,-71,-57,-66,-51,A73,83
-76,-62,-54,-63,-50,-69,-63,-59,-62,-62,-63,-68,-54,-58,-48,-52,-59,-64,A44,84
-52,-42,-61,-70,-73,-73,-77,-75,-69,-51,-45,-60,-62,-61,-75,-61,-70,-68,A15,51
-72,-61,-59,-64,-65,-64,-79,-80,-85,-60,-79,-60,-64,-83,-70,-72,-95,-74,A22,3
-68,-67,-70,-68,-67,-57,-62,-72,-60,-67,-74,-81,-66,-63,-66,-52,-54,-60,A69,85
-67,-63,-69,-66,-62,-72,-70,-60,-61,-78,-75,-70,-68,-68,-68,-57,-62,-57,B57,14
-67,-72,-66,-73,-60,-45,-56,-66,-75,-66,-67,-65,-66,-53,-61,-47,-58,-62,A56,86
-82,-95,-71,-70,-77,-77,-68,-66,-39,-83,-95,-79,-74,-77,-64,-56,-55,-57,A70,87
-66,-69,-77,-63,-58,-64,-57,-64,-65,-62,-66,-69,-57,-56,-69,-53,-65,-54,A54,88
-67,-63,-68,-69,-67,-51,-46,-63,-64,-57,-62,-60,-53,-53,-46,-59,-62,-58,A55,89
-68,-67,-65,-68,-66,-53,-59,-72,-68,-81,-64,-64,-57,-59,-50,-57,-66,-60,A53,27
-63,-71,-64,-71,-77,-68,-95,-80,-75,-64,-68,-71,-80,-95,-75,-95,-80,-95,B5,37
-68,-69,-66,-71,-55,-51,-63,-69,-71,-66,-65,-62,-54,-56,-54,-68,-61,-65,A41,6
-54,-45,-61,-56,-57,-54,-68,-64,-62,-49,-55,-61,-61,-60,-61,-63,-61,-63,B11,90
-61,-60,-56,-55,-49,-62,-73,-64,-66,-69,-64,-61,-57,-60,-64,-65,-66,-68,B29,65
-61,-69,-68,-71,-57,-61,-54,-54,-61,-56,-66,-75,-58,-61,-51,-46,-57,-53,A63,81
-79,-62,-61,-61,-61,-53,-66,-66,-68,-63,-67,-63,-56,-68,-55,-62,-69,-70,A42,91
-60,-64,-55,-62,-72,-77,-81,-77,-73,-66,-69,-64,-73,-79,-74,-85,-77,-73,B22,92
-57,-61,-66,-71,-66,-65,-74,-77,-76,-53,-53,-57,-66,-68,-74,-77,-83,-78,A17,93
-67,-83,-71,-64,-61,-63,-62,-74,-60,-95,-83,-73,-68,-64,-43,-57,-73,-68,B50,16
-76,-74,-74,-70,-59,-60,-59,-47,-54,-72,-66,-75,-73,-55,-62,-55,-45,-53,B67,94
-72,-79,-95,-71,-81,-73,-60,-55,-61,-71,-70,-81,-67,-76,-66,-60,-56,-64,A62,42
-63,-69,-66,-61,-61,-66,-75,-75,-81,-67,-64,-78,-59,-73,-62,-64,-70,-82,A34,74
-83,-72,-76,-76,-72,-70,-65,-62,-46,-74,-95,-80,-72,-70,-63,-65,-55,-48,A74,95
-56,-61,-64,-71,-68,-68,-77,-81,-72,-56,-56,-57,-61,-73,-67,-72,-84,-75,A14,50
-67,-63,-56,-53,-58,-57,-67,-72,-65,-65,-56,-53,-50,-63,-59,-74,-63,-68,A33,-1
-48,-65,-80,-65,-67,-67,-76,-79,-72,-50,-54,-57,-77,-68,-71,-65,-86,-79,A3,32
-73,-73,-74,-69,-71,-55,-63,-64,-63,-73,-66,-67,-65,-58,-50,-55,-58,-60,A57,96
-52,-57,-64,-64,-64,-76,-66,-69,-71,-62,-54,-68,-57,-67,-65,-95,-67,-68,A8,97
-75,-66,-63,-68,-69,-58,-79,-71,-75,-74,-82,-79,-75,-59,-54,-74,-75,-71,B46,98
-63,-65,-63,-57,-57,-52,-67,-75,-84,-68,-61,-54,-49,-71,-56,-67,-78,-63,A37,99
-67,-59,-60,-62,-51,-39,-59,-72,-50,-68,-72,-68,-59,-47,-57,-54,-66,-59,B39,64
-59,-53,-61,-67,-77,-73,-75,-77,-83,-62,-56,-64,-70,-76,-76,-79,-95,-80,B18,25
-57,-50,-57,-49,-58,-60,-63,-68,-58,-61,-50,-58,-58,-56,-58,-58,-59,-64,B15,100
-72,-68,-71,-62,-65,-45,-56,-65,-70,-62,-72,-67,-52,-40,-45,-59,-58,-64,A51,101
-62,-59,-56,-59,-48,-47,-62,-56,-57,-95,-61,-95,-50,-56,-58,-65,-95,-64,A40,-1
-61,-57,-60,-49,-69,-54,-63,-86,-64,-50,-61,-50,-57,-63,-72,-66,-64,-78,A32,39
-70,-73,-74,-73,-62,-82,-58,-58,-60,-74,-75,-69,-71,-65,-76,-56,-66,-66,B58,67
-60,-65,-65,-70,-75,-66,-73,-81,-84,-50,-54,-59,-62,-68,-67,-74,-74,-73,A4,62
-72,-64,-53,-57,-61,-64,-61,-58,-62,-58,-64,-69,-53,-48,-58,-60,-62,-54,B36,49
-63,-64,-59,-68,-61,-58,-50,-59,-67,-58,-67,-63,-60,-52,-49,-44,-56,-63,A59,102
-64,-70,-63,-68,-61,-57,-61,-54,-65,-70,-67,-65,-73,-65,-49,-45,-52,-50,A72,103
-65,-62,-55,-45,-54,-61,-70,-55,-66,-61,-72,-62,-59,-72,-56,-55,-66,-58,B32,104
-61,-59,-50,-45,-60,-55,-72,-58,-62,-66,-68,-45,-60,-67,-59,-59,-62,-62,B28,69
-78,-73,-62,-62,-64,-64,-55,-61,-56,-77,-72,-73,-66,-62,-53,-55,-61,-61,B49,61
-67,-64,-71,-80,-77,-78,-82,-87,-78,-62,-67,-61,-67,-69,-95,-76,-78,-76,A2,105
-68,-65,-68,-65,-62,-72,-70,-58,-61,-78,-70,-70,-68,-68,-69,-57,-64,-57,B57,14
-66,-64,-70,-62,-58,-62,-53,-58,-63,-80,-74,-83,-67,-61,-56,-61,-66,-65,B45,106
-59,-61,-63,-75,-64,-66,-76,-77,-77,-57,-53,-57,-65,-68,-76,-78,-84,-80,A17,93
-84,-65,-64,-63,-55,-50,-75,-68,-72,-61,-64,-68,-59,-74,-63,-63,-70,-73,A33,107
-50,-66,-77,-65,-68,-67,-78,-78,-72,-52,-54,-58,-73,-69,-73,-65,-86,-76,A3,32
-64,-70,-65,-68,-61,-57,-61,-54,-65,-71,-67,-66,-74,-65,-52,-45,-50,-50,A72,103
-62,-70,-77,-73,-74,-69,-83,-75,-81,-64,-63,-62,-73,-82,-80,-80,-72,-85,A13,108
-56,-45,-63,-55,-56,-54,-69,-64,-63,-50,-56,-59,-61,-61,-61,-62,-62,-63,B11,90
-68,-76,-76,-71,-66,-59,-67,-63,-61,-69,-65,-71,-61,-71,-60,-59,-52,-58,B17,109
-55,-45,-60,-56,-57,-54,-67,-64,-62,-48,-54,-61,-61,-60,-61,-63,-62,-63,B11,90
-68,-62,-53,-69,-67,-68,-73,-78,-70,-56,-61,-63,-66,-71,-65,-64,-69,-68,A21,110
-79,-63,-70,-78,-75,-56,-61,-60,-53,-68,-65,-78,-64,-62,-57,-58,-49,-59,A65,111
-60,-57,-62,-66,-65,-57,-84,-73,-73,-57,-56,-64,-74,-63,-65,-67,-68,-66,A17,-1
-69,-64,-56,-71,-66,-63,-72,-76,-69,-57,-61,-66,-64,-74,-66,-70,-69,-65,A21,110
-66,-58,-67,-70,-56,-51,-55,-70,-70,-63,-60,-65,-62,-56,-55,-60,-60,-69,A52,112
-65,-63,-79,-71,-54,-47,-63,-65,-61,-57,-58,-56,-52,-40,-53,-58,-59,-61,A47,113
-68,-85,-72,-62,-62,-63,-63,-76,-60,-95,-82,-74,-68,-66,-43,-57,-74,-68,B50,16
-66,-61,-59,-57,-62,-54,-61,-61,-63,-68,-74,-71,-65,-54,-73,-78,-66,-69,B41,58
-67,-59,-56,-69,-62,-54,-49,-56,-54,-67,-63,-66,-59,-46,-46,-50,-51,-57,B47,114
-67,-58,-56,-69,-62,-54,-51,-56,-54,-67,-63,-66,-60,-46,-46,-50,-51,-56,B47,114
-76,-75,-72,-69,-76,-70,-69,-55,-61,-79,-76,-75,-71,-61,-75,-78,-68,-62,B77,115
-58,-55,-67,-69,-66,-72,-68,-77,-69,-51,-62,-68,-79,-82,-69,-72,-72,-74,B3,116
-61,-59,-52,-52,-50,-66,-57,-76,-65,-78,-68,-75,-48,-57,-68,-83,-63,-63,B35,117
-68,-59,-56,-70,-62,-54,-53,-56,-53,-67,-63,-66,-60,-45,-46,-50,-51,-56,B47,114
-64,-57,-68,-69,-58,-45,-55,-60,-62,-70,-71,-71,-61,-47,-60,-53,-61,-54,B44,118
-79,-73,-68,-79,-69,-69,-62,-50,-54,-81,-72,-80,-69,-63,-67,-57,-58,-56,B80,8
-75,-76,-72,-69,-76,-71,-68,-54,-61,-80,-76,-75,-71,-61,-75,-74,-68,-61,B77,115
-95,-53,-64,-95,-95,-68,-63,-95,-95,-95,-95,-95,-57,-95,-95,-66,-95,-95,B23,40
-58,-65,-64,-67,-66,-64,-78,-81,-67,-55,-56,-58,-67,-71,-70,-77,-70,-74,A4,20
-80,-68,-71,-75,-66,-60,-68,-62,-49,-76,-76,-69,-68,-71,-61,-57,-52,-56,A80,119
-72,-74,-74,-70,-61,-75,-58,-58,-61,-77,-83,-68,-77,-65,-73,-56,-66,-66,B58,67
-59,-78,-61,-67,-49,-61,-56,-62,-61,-67,-69,-65,-64,-43,-49,-74,-64,-62,B43,120
-61,-60,-56,-55,-49,-62,-72,-63,-66,-68,-64,-61,-57,-59,-64,-65,-66,-68,B29,65
-79,-68,-66,-65,-63,-79,-85,-67,-61,-77,-80,-80,-81,-61,-68,-63,-68,-68,B54,121
-68,-77,-65,-68,-64,-65,-62,-61,-50,-85,-63,-69,-72,-58,-65,-59,-52,-44,B75,122
-62,-59,-51,-45,-60,-55,-72,-58,-62,-67,-68,-45,-59,-67,-59,-59,-62,-62,B28,69
-65,-58,-56,-68,-64,-55,-50,-56,-54,-66,-63,-66,-60,-46,-47,-50,-51,-57,B47,114
-69,-73,-74,-73,-62,-82,-59,-58,-61,-73,-75,-69,-71,-64,-76,-56,-66,-66,B58,67
-66,-61,-60,-57,-63,-53,-62,-60,-62,-69,-74,-71,-66,-54,-73,-78,-66,-69,B41,58
-71,-68,-60,-57,-59,-56,-71,-64,-72,-65,-63,-68,-48,-80,-69,-64,-71,-81,A37,123
-55,-45,-61,-56,-56,-54,-68,-64,-62,-50,-55,-61,-61,-60,-61,-63,-62,-64,B11,90
-71,-67,-60,-57,-58,-56,-70,-65,-72,-65,-63,-68,-50,-80,-69,-65,-71,-81,A37,123
-65,-68,-63,-67,-69,-65,-60,-78,-66,-75,-71,-63,-58,-51,-50,-55,-61,-58,A49,124
-73,-70,-64,-67,-68,-66,-62,-59,-48,-81,-63,-76,-77,-59,-67,-58,-52,-44,B75,122
-64,-63,-77,-69,-55,-47,-63,-65,-62,-57,-58,-56,-53,-39,-52,-59,-59,-62,A47,113
-70,-61,-66,-53,-51,-63,-81,-57,-76,-78,-66,-67,-61,-59,-73,-74,-64,-79,B37,0
-75,-75,-61,-70,-63,-68,-65,-48,-48,-78,-77,-65,-70,-57,-65,-54,-49,-55,B63,59
-66,-66,-61,-64,-66,-64,-53,-62,-58,-67,-70,-64,-68,-56,-55,-48,-63,-60,B52,125
-70,-69,-75,-66,-77,-63,-63,-74,-65,-63,-63,-63,-68,-56,-51,-55,-62,-58,A58,45
-71,-61,-67,-61,-64,-79,-71,-83,-85,-70,-82,-68,-64,-70,-88,-86,-79,-79,B33,126
-79,-70,-83,-67,-65,-57,-73,-60,-52,-70,-69,-81,-63,-71,-61,-56,-51,-55,A65,127
-64,-55,-58,-50,-70,-54,-62,-77,-64,-52,-64,-50,-56,-63,-71,-66,-63,-78,A32,39
-63,-57,-55,-43,-55,-62,-65,-75,-64,-69,-52,-54,-51,-68,-59,-61,-73,-67,A35,31
-49,-49,-70,-64,-63,-68,-68,-73,-78,-58,-61,-72,-67,-78,-74,-74,-72,-83,B2,128
-58,-65,-50,-66,-63,-62,-76,-73,-74,-56,-63,-58,-68,-75,-60,-69,-69,-75,A21,244
-68,-66,-71,-67,-66,-57,-62,-73,-60,-67,-75,-79,-66,-63,-66,-52,-54,-60,A69,85
-76,-75,-72,-70,-59,-61,-59,-46,-53,-72,-66,-74,-72,-55,-62,-54,-44,-53,B67,94
-77,-80,-74,-69,-68,-69,-68,-64,-59,-77,-76,-74,-83,-64,-61,-56,-65,-63,A66,26
-82,-65,-64,-62,-54,-50,-75,-67,-71,-61,-63,-67,-62,-74,-63,-64,-70,-73,A33,107
